department,position,education_level,field_of_study,employees,avg_basic_salary,avg_total_compensation
"Engineering Department",Assistant,"Doctoral Degree","Data Analytics",19,10002.11,11481.21
"Human Resources Department",Developer,Diploma,Economics,19,9425.47,11352.74
"Marketing Department",Analyst,Diploma,"Data Analytics",19,9905.32,11305.79
"Operations Department",Consultant,Diploma,"Information Technology",19,9383.79,11245.05
"Finance Department",Assistant,Diploma,Economics,19,9215.00,10997.21
"Human Resources Department",Assistant,"Doctoral Degree","Business Administration",19,9079.63,10978.16
"Operations Department",Consultant,"Master's Degree",Economics,19,9499.26,10960.68
"Customer Support Department",Consultant,Diploma,Engineering,19,9250.00,10940.63
"Engineering Department",Executive,Diploma,"Computer Science",19,9135.11,10796.58
"Finance Department",Consultant,"Doctoral Degree",Economics,19,9220.89,10667.00
"Finance Department",Analyst,"Bachelor's Degree",Engineering,19,8979.95,10661.26
"Human Resources Department",Consultant,"Doctoral Degree",Economics,19,9051.00,10641.95
"Engineering Department",Assistant,Diploma,Economics,19,8972.84,10520.89
"Product Management Department",Analyst,Diploma,"Information Technology",19,8901.21,10517.16
"Product Management Department",Manager,"Doctoral Degree",Economics,19,9042.11,10425.26
"Product Management Department",Developer,Diploma,Engineering,19,9025.11,10402.74
"Finance Department",Manager,Diploma,"Data Analytics",19,8885.95,10402.05
"Customer Support Department",Executive,Diploma,Engineering,19,8670.79,10111.89
"Human Resources Department",Manager,Diploma,Economics,19,8504.26,10076.16
"Product Management Department",Manager,Diploma,"Data Analytics",19,8264.47,9945.26
"Operations Department",Analyst,"Bachelor's Degree","Information Technology",19,8149.89,9696.32
"Engineering Department",Analyst,"Doctoral Degree","Information Technology",19,6429.26,8338.47
"Product Management Department",Developer,"Doctoral Degree","Computer Science",18,10708.22,12236.28
"Human Resources Department",Developer,Diploma,"Data Analytics",18,10562.11,12159.22
"Operations Department",Manager,"Doctoral Degree","Computer Science",18,9820.11,11647.06
"Marketing Department",Manager,"Bachelor's Degree",Engineering,18,9700.72,11531.89
"Finance Department",Analyst,Diploma,"Data Analytics",18,9638.94,11200.94
"Product Management Department",Assistant,"Doctoral Degree",Economics,18,9465.72,11174.17
"Operations Department",Consultant,Diploma,Engineering,18,9216.78,10827.89
"Marketing Department",Consultant,Diploma,Engineering,18,9216.83,10815.78
"Operations Department",Developer,Diploma,"Data Analytics",18,9145.22,10809.50
"Marketing Department",Assistant,Diploma,"Information Technology",18,8868.50,10702.00
"Finance Department",Executive,"Doctoral Degree","Information Technology",18,8875.28,10591.00
"Engineering Department",Analyst,Diploma,"Computer Science",18,8880.06,10457.83
"Finance Department",Consultant,"Doctoral Degree","Data Analytics",18,8793.67,10445.44
"Marketing Department",Executive,Diploma,"Computer Science",18,8997.50,10371.00
"Engineering Department",Manager,Diploma,"Information Technology",18,8429.22,10333.22
"Human Resources Department",Analyst,Diploma,Engineering,18,8723.06,10300.22
"Customer Support Department",Assistant,Diploma,Economics,18,8409.33,10131.78
"Customer Support Department",Executive,"Doctoral Degree","Computer Science",18,8412.44,10123.17
"Human Resources Department",Developer,Diploma,"Business Administration",18,8330.94,10054.67
"Human Resources Department",Assistant,"Doctoral Degree",Economics,18,8331.39,9982.50
"Finance Department",Analyst,Diploma,"Information Technology",18,8176.39,9950.56
"Customer Support Department",Manager,"Doctoral Degree","Data Analytics",18,8127.00,9902.83
"Finance Department",Developer,Diploma,"Data Analytics",18,8303.94,9873.56
"Human Resources Department",Analyst,Diploma,"Information Technology",18,7894.33,9818.94
"Product Management Department",Manager,Diploma,"Computer Science",18,8178.94,9817.94
"Product Management Department",Manager,Diploma,"Information Technology",18,8098.78,9758.50
"Finance Department",Consultant,Diploma,Engineering,18,7819.44,9434.83
"Marketing Department",Developer,Diploma,"Information Technology",18,7710.56,9431.83
"Data and Analytics Department",Consultant,Diploma,"Information Technology",18,7264.06,8655.44
"Human Resources Department",Consultant,Diploma,"Information Technology",17,10249.65,12250.41
"Data and Analytics Department",Consultant,Diploma,"Data Analytics",17,10185.59,11886.71
"Marketing Department",Consultant,Diploma,"Information Technology",17,10106.65,11847.47
"Marketing Department",Consultant,"Bachelor's Degree",Engineering,17,9980.94,11717.88
"Finance Department",Analyst,Diploma,Economics,17,9802.94,11549.00
"Human Resources Department",Assistant,Diploma,Engineering,17,9955.94,11475.18
"Customer Support Department",Consultant,Diploma,"Information Technology",17,9588.41,11322.24
"Human Resources Department",Analyst,"Bachelor's Degree",Engineering,17,9379.29,11220.41
"Product Management Department",Consultant,Diploma,Economics,17,9436.24,11217.94
"Data and Analytics Department",Executive,"Doctoral Degree",Engineering,17,9483.94,11211.12
"Operations Department",Consultant,Diploma,"Data Analytics",17,9217.76,11046.94
"Marketing Department",Consultant,"Doctoral Degree",Economics,17,9268.35,10808.71
"Engineering Department",Manager,"Doctoral Degree","Business Administration",17,9027.65,10638.76
"Engineering Department",Executive,"Doctoral Degree","Data Analytics",17,9192.47,10628.00
"Finance Department",Executive,"Doctoral Degree","Computer Science",17,8720.65,10605.35
"Product Management Department",Manager,"Doctoral Degree","Computer Science",17,8819.65,10605.35
"Data and Analytics Department",Developer,Diploma,"Computer Science",17,9176.94,10601.29
"Customer Support Department",Developer,Diploma,"Computer Science",17,8962.29,10586.35
"Engineering Department",Executive,Diploma,"Information Technology",17,9044.59,10414.06
"Customer Support Department",Executive,Diploma,"Computer Science",17,8729.35,10393.24
"Operations Department",Developer,Diploma,Engineering,17,8740.35,10351.71
"Marketing Department",Manager,Diploma,Economics,17,8878.29,10304.35
"Data and Analytics Department",Assistant,Diploma,"Computer Science",17,8976.71,10297.29
"Operations Department",Manager,Diploma,Economics,17,8794.18,10252.53
"Data and Analytics Department",Assistant,Diploma,Engineering,17,8008.76,10154.18
"Product Management Department",Assistant,Diploma,Economics,17,8517.76,10121.18
"Human Resources Department",Consultant,Diploma,Economics,17,8415.47,10075.82
"Human Resources Department",Assistant,Diploma,"Data Analytics",17,8671.94,9983.00
"Product Management Department",Assistant,Diploma,"Data Analytics",17,8558.47,9885.24
"Customer Support Department",Assistant,"Doctoral Degree","Information Technology",17,8188.35,9872.71
"Human Resources Department",Executive,"Doctoral Degree","Computer Science",17,8026.00,9789.00
"Human Resources Department",Executive,Diploma,"Computer Science",17,8322.06,9738.53
"Engineering Department",Manager,Diploma,"Computer Science",17,8109.41,9644.53
"Engineering Department",Manager,"Doctoral Degree",Engineering,17,7925.41,9620.82
"Operations Department",Developer,"Doctoral Degree","Information Technology",17,7736.00,9573.94
"Data and Analytics Department",Analyst,Diploma,Economics,17,8024.12,9449.53
"Finance Department",Manager,Diploma,Engineering,17,7905.88,9374.71
"Engineering Department",Assistant,Diploma,"Computer Science",17,8054.47,9316.76
"Data and Analytics Department",Analyst,Diploma,Engineering,17,7330.59,9085.29
"Customer Support Department",Consultant,"Doctoral Degree",Economics,17,6004.65,7647.53
"Engineering Department",Consultant,Diploma,Economics,16,11282.63,13545.81
"Data and Analytics Department",Executive,Diploma,"Information Technology",16,10693.31,12551.69
"Customer Support Department",Consultant,"Doctoral Degree","Information Technology",16,10059.13,12042.38
"Engineering Department",Assistant,"Doctoral Degree",Economics,16,10251.06,11824.75
"Customer Support Department",Developer,Diploma,Engineering,16,9330.44,11389.88
"Customer Support Department",Manager,"Doctoral Degree",Economics,16,9486.56,11371.56
"Engineering Department",Executive,Diploma,Engineering,16,9596.81,11311.44
"Human Resources Department",Analyst,"Doctoral Degree",Engineering,16,9193.63,11258.81
"Product Management Department",Executive,Diploma,Engineering,16,9686.94,11174.44
"Product Management Department",Analyst,Diploma,Economics,16,9232.31,11014.81
"Finance Department",Developer,"Doctoral Degree","Data Analytics",16,9234.69,10941.56
"Operations Department",Analyst,"Doctoral Degree",Economics,16,8981.19,10890.69
"Human Resources Department",Manager,"Doctoral Degree","Computer Science",16,8734.50,10759.63
"Finance Department",Developer,"Doctoral Degree",Engineering,16,9000.13,10731.06
"Customer Support Department",Analyst,Diploma,"Data Analytics",16,8718.56,10659.81
"Data and Analytics Department",Manager,Diploma,"Computer Science",16,8551.31,10557.00
"Marketing Department",Analyst,"Doctoral Degree",Engineering,16,8807.25,10440.81
"Customer Support Department",Assistant,Diploma,Engineering,16,8747.31,10270.63
"Product Management Department",Analyst,Diploma,Engineering,16,8575.88,10158.69
"Data and Analytics Department",Analyst,Diploma,"Information Technology",16,8560.25,10157.50
"Product Management Department",Executive,Diploma,Economics,16,8329.50,10119.69
"Operations Department",Manager,Diploma,Engineering,16,8707.44,10119.19
"Human Resources Department",Developer,"Doctoral Degree",Economics,16,8398.75,9951.81
"Finance Department",Executive,Diploma,Engineering,16,8413.13,9863.56
"Engineering Department",Developer,"Doctoral Degree","Computer Science",16,8116.06,9840.00
"Product Management Department",Manager,"Doctoral Degree","Information Technology",16,8093.38,9732.13
"Engineering Department",Developer,Diploma,"Information Technology",16,8009.44,9679.25
"Customer Support Department",Developer,"Bachelor's Degree",Engineering,16,8465.13,9589.19
"Marketing Department",Consultant,Diploma,Economics,16,8155.50,9440.81
"Data and Analytics Department",Manager,Diploma,Engineering,16,7938.75,9439.19
"Product Management Department",Manager,Diploma,Economics,16,7846.06,9328.31
"Product Management Department",Assistant,"Doctoral Degree",Engineering,16,7648.75,9236.44
"Human Resources Department",Manager,Diploma,"Data Analytics",16,7544.81,9154.13
"Data and Analytics Department",Developer,Diploma,"Data Analytics",16,7343.75,8963.88
"Product Management Department",Manager,Diploma,Engineering,16,7439.50,8953.75
"Engineering Department",Consultant,"Doctoral Degree",Economics,16,7631.69,8941.00
"Data and Analytics Department",Consultant,Diploma,Engineering,15,10267.07,12261.87
"Marketing Department",Assistant,Diploma,"Computer Science",15,10377.80,12028.33
"Finance Department",Developer,Diploma,"Computer Science",15,9683.87,11789.73
"Engineering Department",Manager,Diploma,Economics,15,10302.20,11738.40
"Operations Department",Analyst,Diploma,Engineering,15,10126.13,11683.80
"Engineering Department",Analyst,Diploma,Engineering,15,9816.40,11575.80
"Human Resources Department",Assistant,Diploma,Economics,15,9664.93,11457.13
"Product Management Department",Developer,"Doctoral Degree",Engineering,15,9531.67,11257.87
"Engineering Department",Developer,"Doctoral Degree",Economics,15,9610.87,11234.73
"Engineering Department",Developer,Diploma,"Computer Science",15,9535.67,11096.33
"Product Management Department",Assistant,"Doctoral Degree","Information Technology",15,9393.13,11075.93
"Engineering Department",Consultant,"Doctoral Degree","Computer Science",15,9276.33,11071.67
"Customer Support Department",Consultant,"Doctoral Degree","Data Analytics",15,9580.20,10947.13
"Product Management Department",Developer,Diploma,"Information Technology",15,8950.20,10798.73
"Operations Department",Assistant,"Doctoral Degree",Engineering,15,8931.67,10798.27
"Human Resources Department",Manager,Diploma,"Information Technology",15,9126.40,10792.13
"Customer Support Department",Executive,"Doctoral Degree","Data Analytics",15,8967.60,10715.33
"Data and Analytics Department",Manager,"Doctoral Degree","Information Technology",15,9092.53,10711.87
"Data and Analytics Department",Executive,"Doctoral Degree",Economics,15,9089.53,10687.87
"Operations Department",Manager,"Doctoral Degree","Data Analytics",15,8596.60,10581.53
"Marketing Department",Manager,"Doctoral Degree","Computer Science",15,9181.93,10539.87
"Engineering Department",Manager,"Doctoral Degree","Computer Science",15,9091.73,10470.00
"Engineering Department",Analyst,Diploma,"Information Technology",15,9004.73,10445.47
"Operations Department",Assistant,Diploma,"Computer Science",15,8807.20,10441.00
"Data and Analytics Department",Executive,Diploma,"Data Analytics",15,8534.60,10390.07
"Human Resources Department",Consultant,"Doctoral Degree","Information Technology",15,8402.53,10154.33
"Engineering Department",Developer,"Bachelor's Degree",Engineering,15,8426.07,10143.60
"Engineering Department",Manager,Diploma,Engineering,15,8379.07,10087.67
"Customer Support Department",Manager,Diploma,Engineering,15,8276.33,10031.93
"Human Resources Department",Executive,Diploma,Engineering,15,8150.60,9994.33
"Human Resources Department",Developer,"Doctoral Degree","Computer Science",15,8117.27,9825.67
"Data and Analytics Department",Assistant,"Doctoral Degree","Information Technology",15,7734.73,9703.67
"Data and Analytics Department",Developer,Diploma,Engineering,15,7893.93,9569.73
"Marketing Department",Manager,"Doctoral Degree","Data Analytics",15,7858.80,9477.33
"Human Resources Department",Consultant,Diploma,"Data Analytics",15,7469.20,8955.33
"Marketing Department",Consultant,"Doctoral Degree",Engineering,15,7450.53,8909.20
"Customer Support Department",Developer,"Doctoral Degree","Computer Science",15,6537.60,8284.33
"Finance Department",Developer,Diploma,"Information Technology",15,6707.60,8220.67
"Finance Department",Analyst,"Doctoral Degree","Data Analytics",15,6018.40,7766.13
"Human Resources Department",Manager,Diploma,Engineering,14,10791.71,12416.93
"Product Management Department",Analyst,Diploma,"Data Analytics",14,10101.57,12081.21
"Customer Support Department",Consultant,"Doctoral Degree",Engineering,14,10080.79,11788.07
"Marketing Department",Manager,Diploma,"Data Analytics",14,9701.71,11746.50
"Customer Support Department",Manager,"Doctoral Degree","Information Technology",14,9709.79,11625.29
"Data and Analytics Department",Manager,"Doctoral Degree",Economics,14,9975.29,11479.93
"Customer Support Department",Manager,Diploma,"Data Analytics",14,9949.21,11466.00
"Human Resources Department",Executive,Diploma,Economics,14,9802.21,11325.00
"Marketing Department",Assistant,Diploma,Engineering,14,9277.57,11035.64
"Operations Department",Assistant,"Doctoral Degree","Computer Science",14,9516.36,10998.71
"Customer Support Department",Consultant,Diploma,"Data Analytics",14,9011.36,10869.29
"Finance Department",Assistant,"Doctoral Degree","Information Technology",14,9233.64,10807.07
"Data and Analytics Department",Developer,"Doctoral Degree",Economics,14,8737.21,10706.14
"Data and Analytics Department",Analyst,"Doctoral Degree","Information Technology",14,8888.50,10576.86
"Finance Department",Consultant,Diploma,Economics,14,8928.50,10521.00
"Human Resources Department",Manager,"Doctoral Degree","Data Analytics",14,8621.21,10483.21
"Customer Support Department",Consultant,"Doctoral Degree","Computer Science",14,8921.93,10459.71
"Customer Support Department",Assistant,"Doctoral Degree",Engineering,14,8703.64,10434.14
"Operations Department",Manager,"Doctoral Degree","Information Technology",14,8382.57,10325.07
"Engineering Department",Executive,"Doctoral Degree",Economics,14,8742.36,10286.29
"Finance Department",Consultant,"Doctoral Degree","Computer Science",14,8602.14,10275.43
"Customer Support Department",Manager,Diploma,Economics,14,8523.57,10268.36
"Customer Support Department",Assistant,"Doctoral Degree","Data Analytics",14,8539.29,10178.71
"Marketing Department",Assistant,"Doctoral Degree","Information Technology",14,8468.36,10166.43
"Human Resources Department",Manager,"Doctoral Degree","Information Technology",14,8357.07,9926.07
"Customer Support Department",Assistant,Diploma,"Computer Science",14,8201.79,9897.93
"Operations Department",Analyst,"Doctoral Degree",Engineering,14,8170.86,9884.79
"Engineering Department",Assistant,"Doctoral Degree","Information Technology",14,8129.07,9756.29
"Data and Analytics Department",Consultant,Diploma,"Computer Science",14,8057.43,9741.86
"Product Management Department",Manager,"Doctoral Degree",Engineering,14,8137.71,9696.71
"Finance Department",Manager,"Doctoral Degree",Economics,14,7932.14,9641.00
"Product Management Department",Consultant,Diploma,Engineering,14,7743.29,9451.21
"Operations Department",Executive,"Bachelor's Degree",Engineering,14,7767.07,9366.07
"Operations Department",Assistant,Diploma,Economics,14,7991.00,9217.43
"Human Resources Department",Developer,Diploma,"Information Technology",14,7586.36,9198.93
"Data and Analytics Department",Developer,Diploma,Economics,14,7513.64,9152.29
"Human Resources Department",Analyst,"Doctoral Degree","Information Technology",14,7591.64,9136.14
"Customer Support Department",Assistant,Diploma,"Information Technology",14,7658.07,8957.29
"Marketing Department",Analyst,"Doctoral Degree","Data Analytics",14,7366.43,8928.14
"Finance Department",Assistant,Diploma,"Computer Science",14,6977.71,8585.21
"Operations Department",Analyst,Diploma,"Information Technology",14,7331.36,8542.29
"Engineering Department",Consultant,Diploma,Engineering,14,5702.07,7640.93
"Human Resources Department",Executive,"Doctoral Degree",Engineering,13,11014.31,12717.54
"Finance Department",Executive,"Doctoral Degree",Engineering,13,9758.46,11843.08
"Operations Department",Consultant,Diploma,"Computer Science",13,10026.38,11694.15
"Data and Analytics Department",Analyst,Diploma,"Computer Science",13,9865.31,11686.62
"Engineering Department",Consultant,"Doctoral Degree","Data Analytics",13,9582.62,11674.23
"Human Resources Department",Developer,"Doctoral Degree","Data Analytics",13,10060.54,11624.23
"Human Resources Department",Analyst,"Doctoral Degree","Data Analytics",13,10112.69,11545.00
"Engineering Department",Manager,Diploma,"Data Analytics",13,10068.54,11541.46
"Product Management Department",Executive,"Bachelor's Degree",Engineering,13,9784.23,11483.38
"Marketing Department",Consultant,"Doctoral Degree","Data Analytics",13,9815.38,11421.69
"Data and Analytics Department",Executive,"Doctoral Degree","Data Analytics",13,9861.31,11258.85
"Finance Department",Developer,Diploma,Economics,13,9348.62,11209.46
"Customer Support Department",Assistant,"Doctoral Degree","Computer Science",13,9011.92,10940.69
"Product Management Department",Executive,"Doctoral Degree","Computer Science",13,9064.69,10930.62
"Marketing Department",Consultant,"Doctoral Degree","Information Technology",13,9474.92,10918.92
"Human Resources Department",Consultant,"Doctoral Degree","Computer Science",13,9195.38,10894.69
"Engineering Department",Analyst,Diploma,"Data Analytics",13,9059.23,10834.85
"Product Management Department",Developer,"Doctoral Degree","Data Analytics",13,9217.69,10740.69
"Data and Analytics Department",Executive,Diploma,Economics,13,8776.23,10740.54
"Operations Department",Manager,Diploma,"Computer Science",13,9034.46,10732.69
"Operations Department",Executive,"Doctoral Degree","Data Analytics",13,9218.92,10673.00
"Marketing Department",Analyst,"Doctoral Degree","Computer Science",13,8433.69,10559.23
"Product Management Department",Assistant,"Doctoral Degree","Data Analytics",13,9098.77,10462.85
"Engineering Department",Developer,Diploma,"Data Analytics",13,8862.15,10401.77
"Finance Department",Manager,Diploma,"Computer Science",13,8302.46,10389.46
"Product Management Department",Analyst,"Doctoral Degree",Economics,13,8696.31,10370.92
"Customer Support Department",Developer,"Doctoral Degree",Economics,13,8697.00,10334.77
"Marketing Department",Assistant,"Doctoral Degree",Economics,13,9034.00,10293.92
"Engineering Department",Assistant,Diploma,"Data Analytics",13,8303.08,10181.54
"Marketing Department",Developer,Diploma,"Computer Science",13,8417.15,10086.69
"Operations Department",Consultant,"Doctoral Degree",Economics,13,8603.23,10080.46
"Operations Department",Executive,"Doctoral Degree","Computer Science",13,8327.85,10068.23
"Engineering Department",Executive,Diploma,"Data Analytics",13,8639.54,10057.46
"Engineering Department",Consultant,Diploma,"Data Analytics",13,7957.15,10035.92
"Engineering Department",Executive,"Doctoral Degree","Information Technology",13,8215.08,9990.77
"Marketing Department",Executive,"Doctoral Degree",Economics,13,8492.92,9979.54
"Engineering Department",Executive,"Doctoral Degree",Engineering,13,8315.69,9975.77
"Product Management Department",Assistant,"Doctoral Degree","Computer Science",13,8285.38,9970.54
"Engineering Department",Consultant,"Doctoral Degree","Information Technology",13,8220.31,9954.31
"Marketing Department",Manager,"Doctoral Degree","Information Technology",13,8554.85,9917.46
"Data and Analytics Department",Assistant,Diploma,"Data Analytics",13,8462.00,9892.00
"Customer Support Department",Analyst,Diploma,"Computer Science",13,7966.00,9825.00
"Finance Department",Executive,Diploma,"Data Analytics",13,8125.46,9799.54
"Human Resources Department",Manager,"Doctoral Degree",Economics,13,7831.69,9530.92
"Operations Department",Consultant,Diploma,Economics,13,7859.08,9464.15
"Finance Department",Manager,"Doctoral Degree","Computer Science",13,7728.46,9228.00
"Finance Department",Analyst,Diploma,Engineering,13,7703.15,9209.15
"Data and Analytics Department",Manager,"Doctoral Degree","Data Analytics",13,7342.15,9177.15
"Marketing Department",Executive,"Doctoral Degree","Data Analytics",13,7364.54,9140.85
"Product Management Department",Executive,"Doctoral Degree","Data Analytics",13,7447.08,9123.92
"Human Resources Department",Consultant,"Doctoral Degree","Data Analytics",13,7280.31,8973.92
"Marketing Department",Developer,Diploma,"Data Analytics",13,6995.23,8888.62
"Product Management Department",Developer,Diploma,Economics,13,7101.62,8516.77
"Marketing Department",Consultant,Diploma,"Computer Science",12,11041.58,12584.25
"Product Management Department",Assistant,Diploma,"Computer Science",12,10391.25,12257.67
"Operations Department",Assistant,Diploma,Engineering,12,9722.08,11978.42
"Marketing Department",Assistant,"Doctoral Degree",Engineering,12,10501.83,11810.25
"Data and Analytics Department",Assistant,"Doctoral Degree",Engineering,12,10205.25,11795.75
"Engineering Department",Developer,Diploma,Economics,12,9873.75,11769.83
"Operations Department",Developer,Diploma,"Information Technology",12,9910.92,11724.67
"Customer Support Department",Analyst,"Doctoral Degree","Data Analytics",12,9889.00,11711.25
"Product Management Department",Analyst,"Doctoral Degree","Business Administration",12,10193.33,11649.92
"Product Management Department",Consultant,"Doctoral Degree",Engineering,12,9934.08,11602.08
"Product Management Department",Consultant,"Doctoral Degree","Information Technology",12,9932.08,11555.58
"Finance Department",Consultant,"Doctoral Degree",Engineering,12,9739.92,11472.08
"Finance Department",Analyst,"Doctoral Degree","Information Technology",12,9827.58,11436.08
"Marketing Department",Analyst,Diploma,Economics,12,9664.00,11303.08
"Customer Support Department",Developer,"Doctoral Degree",Engineering,12,9691.25,11284.50
"Human Resources Department",Analyst,Diploma,"Computer Science",12,9379.00,11252.25
"Finance Department",Assistant,"Doctoral Degree","Computer Science",12,9250.58,11232.75
"Customer Support Department",Developer,Diploma,"Information Technology",12,9027.17,11153.50
"Data and Analytics Department",Manager,"Doctoral Degree",Engineering,12,9381.92,11106.75
"Product Management Department",Analyst,"Doctoral Degree","Data Analytics",12,9466.83,11065.58
"Human Resources Department",Executive,"Doctoral Degree","Information Technology",12,9384.83,10960.67
"Data and Analytics Department",Executive,Diploma,"Computer Science",12,9277.75,10959.83
"Human Resources Department",Manager,Diploma,"Computer Science",12,9156.58,10770.00
"Engineering Department",Assistant,"Doctoral Degree","Computer Science",12,8861.92,10721.17
"Human Resources Department",Analyst,"Doctoral Degree","Computer Science",12,9477.42,10698.25
"Data and Analytics Department",Developer,"Doctoral Degree",Engineering,12,9205.00,10688.33
"Customer Support Department",Analyst,"Doctoral Degree",Economics,12,8998.75,10653.33
"Marketing Department",Executive,"Doctoral Degree",Engineering,12,8666.25,10571.58
"Engineering Department",Manager,"Doctoral Degree","Information Technology",12,8629.50,10547.50
"Human Resources Department",Assistant,Diploma,"Computer Science",12,9028.75,10521.08
"Marketing Department",Assistant,"Doctoral Degree","Data Analytics",12,8985.75,10486.50
"Marketing Department",Executive,Diploma,"Data Analytics",12,9011.83,10333.42
"Data and Analytics Department",Analyst,"Doctoral Degree",Economics,12,8669.00,10256.92
"Human Resources Department",Executive,"Doctoral Degree","Data Analytics",12,8351.83,10236.33
"Product Management Department",Developer,Diploma,"Computer Science",12,8361.25,10168.33
"Operations Department",Assistant,Diploma,"Data Analytics",12,8651.08,10160.33
"Human Resources Department",Executive,Diploma,"Data Analytics",12,8758.25,10149.33
